, ,assets_size,assets_stablecoins,assets_usdc,dt,stablecoins_ratio,usdc_ratio
172,1.0,5540512104.275457,676279823.7784715,337384799.99076396,2023-10-01T00:00:00Z,0.1220608873422739,0.06089415448265398
173,1.0,5534255883.500324,670493361.4738963,331602347.008615,2023-09-30T00:00:00Z,0.12115329966452879,0.059918145092865145
174,1.0,5540000662.298915,676739751.7283123,338004498.678645,2023-09-29T00:00:00Z,0.12215517523918272,0.061011635066914316
175,1.0,5531080356.330859,774356008.3885062,434777428.108839,2023-09-28T00:00:00Z,0.14000086032056658,0.07860623966730007
176,1.0,5508964566.566645,751377172.6566234,412053444.716291,2023-09-27T00:00:00Z,0.13639172363108965,0.074796895085694
177,1.0,5513644027.5097,856269242.3585339,515710159.413936,2023-09-26T00:00:00Z,0.15530005892405746,0.09353345207649584
178,1.0,5515490402.821499,854774617.3355834,513843332.27631503,2023-09-25T00:00:00Z,0.1549770836149612,0.09316367081582698
179,1.0,5518470445.207156,902051348.6992457,560373624.782328,2023-09-24T00:00:00Z,0.16346039317519329,0.10154509847362105
180,1.0,5513531512.971133,887016728.8667648,545387631.514649,2023-09-23T00:00:00Z,0.1608799599276742,0.09891802200306105
181,1.0,5487221402.236762,860841556.0550557,519212458.70294005,2023-09-22T00:00:00Z,0.156881141282936,0.0946221084666445
182,1.0,5484750282.90131,858351511.6170558,516266236.644206,2023-09-21T00:00:00Z,0.15649782895184192,0.0941275737299589
183,1.0,5478088916.294132,903026146.4465597,561003336.509396,2023-09-20T00:00:00Z,0.16484328024698203,0.1024085853810691
184,1.0,5470421948.693246,991817147.569915,649967985.8471609,2023-09-19T00:00:00Z,0.18130541974131203,0.11881496380775945
185,1.0,5465676565.004473,1039355397.7699262,697714563.70839,2023-09-18T00:00:00Z,0.19016042852310192,0.12765383304524516
186,1.0,5480694013.281307,1086035707.3651466,744271312.1201819,2023-09-17T00:00:00Z,0.19815660292900278,0.13579873467057224
187,1.0,5446587885.246783,1072132967.2229385,732386972.918502,2023-09-16T00:00:00Z,0.1968448852403601,0.13446711745941428
188,1.0,5425753251.750915,1050840940.0356796,711094945.731243,2023-09-15T00:00:00Z,0.19367650744098408,0.13105921200927623
189,1.0,5416506099.05574,1040912697.6108396,701166703.306403,2023-09-14T00:00:00Z,0.19217419468839922,0.12944999792922554
190,1.0,5387525370.426855,1062100676.2083346,722354681.903898,2023-09-13T00:00:00Z,0.1971407284758984,0.13407912394604013
191,1.0,5368901761.092252,1094035641.8348265,754285697.53039,2023-09-12T00:00:00Z,0.20377270632201983,0.1404916184156325
192,1.0,5356187706.971375,1081593736.3371985,741720827.087835,2023-09-11T00:00:00Z,0.2019335011223457,0.13847924450490115
193,1.0,5346587732.276819,1161861996.125355,821491186.032348,2023-09-10T00:00:00Z,0.21730906782120296,0.15364775201818673
194,1.0,5322807720.063798,1138309587.210597,797931041.02759,2023-09-09T00:00:00Z,0.2138551018703628,0.1499079213438178
195,1.0,5313872844.417247,1130318109.427332,789939563.2443249,2023-09-08T00:00:00Z,0.2127107935250735,0.1486560906466242
196,1.0,5296881516.382915,1106533606.9808369,766155060.79783,2023-09-07T00:00:00Z,0.20890284284411487,0.1446426653924883
197,1.0,5303741720.40902,1160320022.9312139,819144292.631588,2023-09-06T00:00:00Z,0.218773855157059,0.15444649000902258
198,1.0,5273828615.434544,1133992760.524853,792814730.225227,2023-09-05T00:00:00Z,0.2150226795778073,0.15033001412009328
199,1.0,5283447559.966551,1142879865.94834,801701835.648714,2023-09-04T00:00:00Z,0.2163132789673369,0.1517383917507434
200,1.0,5291948577.79785,1146226393.3441386,805037183.950525,2023-09-03T00:00:00Z,0.21659817295902759,0.15212490675514595
201,1.0,5271855612.33749,1125644495.7090795,784455286.3154659,2023-09-02T00:00:00Z,0.21351959888180236,0.1488006015338584
202,1.0,5259336837.905066,1112479139.3881361,771288726.5722201,2023-09-01T00:00:00Z,0.21152460351470212,0.14665132702917827
203,1.0,5272830667.587923,1116792454.480437,775602041.664521,2023-08-31T00:00:00Z,0.21180131221458665,0.14709405451461674
204,1.0,5262187656.097354,1103074907.161551,761880083.1866299,2023-08-30T00:00:00Z,0.20962287536123994,0.14478390604406347
205,1.0,5257433146.992189,1088645486.136846,747450662.1619251,2023-08-29T00:00:00Z,0.20706787051770065,0.14217026470218577
206,1.0,5215513448.987896,1109614641.334741,768419817.35982,2023-08-28T00:00:00Z,0.21275271403049856,0.1473334936005077
207,1.0,5214489295.063869,1106157864.679712,764963040.704791,2023-08-27T00:00:00Z,0.2121315822293127,0.14669951311030954
208,1.0,5196291153.302966,963164269.9918091,621969446.016888,2023-08-26T00:00:00Z,0.18535610141467615,0.11969487999561762
209,1.0,5159377749.000111,955369303.0875242,614174479.1126031,2023-08-25T00:00:00Z,0.1851714198040016,0.11904041707968181
210,1.0,5171758918.223359,924028367.6189381,582833543.644017,2023-08-24T00:00:00Z,0.1786681054221234,0.11269542004178267
211,1.0,5121309825.555265,910725374.555428,569530550.5805069,2023-08-23T00:00:00Z,0.17783055616180865,0.111207985843496
212,1.0,5137156532.042746,956523981.5964811,565329157.62156,2023-08-22T00:00:00Z,0.186197164838216,0.110047095916846
213,1.0,5142933828.0317955,957435457.5899252,566155654.285004,2023-08-21T00:00:00Z,0.18616522973159397,0.110084180200637
214,1.0,5165079449.304836,944793248.9063882,553338994.971467,2023-08-20T00:00:00Z,0.18291940292100387,0.10713078093037667
215,1.0,5465858482.584465,918372581.9522902,526918328.01736903,2023-08-19T00:00:00Z,0.16801982431093768,0.09640175092279778
216,1.0,5436509334.466384,898186623.2413431,506732369.306422,2023-08-18T00:00:00Z,0.16521384733895686,0.09320914177298288
217,1.0,5379505838.736351,815206836.9940212,423552868.4391,2023-08-17T00:00:00Z,0.15153935350788908,0.0787345308539702
218,1.0,5366660282.320841,792005771.8393672,400351803.284446,2023-08-16T00:00:00Z,0.14757889081379677,0.07459980364386168
219,1.0,5341833393.211163,774464841.7727382,382558676.717817,2023-08-15T00:00:00Z,0.1449810925883595,0.07161561369622717
220,1.0,5357364634.9572935,782515017.9306972,390608797.875776,2023-08-14T00:00:00Z,0.14606342320340027,0.07291062387783312
221,1.0,5352046726.499909,779329846.8992932,387423626.84437203,2023-08-13T00:00:00Z,0.14561342356010284,0.0723879380436083
222,1.0,5329047196.373047,756516336.2071092,364610116.152188,2023-08-12T00:00:00Z,0.1419609000126692,0.0684193820614578
223,1.0,5262918172.874087,690829531.8358862,298923311.78096503,2023-08-11T00:00:00Z,0.13126358973174443,0.05679801622637096
224,1.0,5243210616.916734,732824797.1223152,340918577.067394,2023-08-10T00:00:00Z,0.13976642379345278,0.06502095795416872
225,1.0,5109656456.718412,709563139.7651322,317318806.080211,2023-08-09T00:00:00Z,0.1388670932724187,0.06210178879305781
226,1.0,4992047232.176827,829770911.6107562,437418878.325835,2023-08-08T00:00:00Z,0.16621856184820732,0.0876231449707447
227,1.0,4791467991.363964,774804157.6459792,382121310.221058,2023-08-07T00:00:00Z,0.16170496370683662,0.07975036270925424
228,1.0,4499268146.494586,703824747.0080061,310875781.263085,2023-08-06T00:00:00Z,0.1564309403422335,0.06909474410972609
229,1.0,4440853996.917756,675206386.0804881,282133192.74556696,2023-08-05T00:00:00Z,0.15204426593378786,0.06353129216618829
