day,ETH Vault_collateral_usd,stETH Vault_collateral_usd,BTC Vault_collateral_usd,Altcoin Vault_collateral_usd,Stablecoin Vault_collateral_usd,LP Vault_collateral_usd,PSM Vault_collateral_usd,Step
2022-07-08 00:00:00+00:00,1794438486.8497424,286774884.7860081,923225010.1921339,132491728.14030838,237676397.59456846,770566107.5404801,3631030571.4149017,After
2022-07-09 00:00:00+00:00,1793411208.7139697,273594512.8942597,878946655.0073195,137515614.98874283,237623709.68104002,816527283.5622392,3628297735.2640076,After
2022-07-10 00:00:00+00:00,1679622544.6107287,282377507.7390549,831657314.460475,129296130.47992325,238080612.6102545,789577166.6272416,3691420699.556885,After
2022-07-11 00:00:00+00:00,1671754733.6575427,265588517.00959134,830676890.8482466,129285636.30652237,237620847.25434324,721497627.0105119,3734459340.127472,After
2022-07-12 00:00:00+00:00,1525830545.2476306,243893089.55094743,752863765.721797,125513349.0374031,235062808.05348036,770511469.8162065,3712130589.4983063,After
2022-07-13 00:00:00+00:00,1617326456.2407947,222320814.8440106,778405930.011836,128101616.07789993,231994964.54186842,761529699.5460649,3739384712.3981934,After
2022-07-14 00:00:00+00:00,1810745627.650661,272891161.693969,797513763.7611952,130358840.803936,230655832.63550398,768101491.7343583,3733631890.7570343,After
2022-07-15 00:00:00+00:00,1920264300.4364734,284485772.41221595,828079941.7112379,136874339.96521378,230262948.1601126,771407776.2695451,3723976244.2062683,After
2022-07-15 00:00:00+00:00,1920264300.4364734,284485772.41221595,828079941.7112379,136874339.96521378,230262948.1601126,771407776.2695451,3723976244.2062683,Before
2022-07-16 00:00:00+00:00,2077560088.54525,313687078.20011866,855225516.0445235,157490526.0694889,233743897.45382077,754134727.0650116,3760358069.9102826,Before
2022-07-17 00:00:00+00:00,2101957917.941762,312369093.2461133,855527348.8712637,157490526.0694889,233743897.45382077,904932818.2075353,3736951416.2979207,Before
2022-07-18 00:00:00+00:00,2323424984.1083198,362056855.1490663,908909292.7039868,157490526.0694889,233743897.4538208,952154897.6220361,3702578058.533168,Before
2022-07-19 00:00:00+00:00,2435217588.616429,381430381.4633546,949100826.346551,158515256.9257654,233743897.45382077,951343832.6040248,3729670520.13252,Before
2022-07-20 00:00:00+00:00,2437285560.469825,382933514.36600125,957790220.0758688,158514826.7993204,233743897.45382077,951725031.9486238,3746869872.80682,Before
2022-07-21 00:00:00+00:00,2492997940.884044,378596678.98649377,912556467.2492706,158049851.62146592,233743897.45382077,1635284674.4907901,3725544169.603196,Before
2022-07-22 00:00:00+00:00,2398611532.1581135,378088794.3228312,932367311.208763,157875360.14664713,233743897.45382077,1781108189.1838503,3639962079.017031,Before
2022-07-15 00:00:00+00:00,1861732647.081798,284449008.6720731,820718242.3435621,132337132.43271255,230164315.27231047,812863834.2270646,3753086143.1316223,After
2022-07-16 00:00:00+00:00,2058692428.8245502,333349722.7045338,823605804.3760633,135253573.32024765,229097852.17011473,838017542.2349687,3734182979.6580353,After
2022-07-17 00:00:00+00:00,2120461778.5167956,321199484.0886295,830280557.8126936,139123665.03284836,227667692.5988066,958800848.4415727,3705438991.5967407,After
2022-07-18 00:00:00+00:00,2371699280.671413,351912811.20760703,899299188.3453016,146270234.05449295,227070625.4866278,979500007.699965,3664606364.174576,After
2022-07-19 00:00:00+00:00,2488965680.7424884,372568589.09609103,941143745.1065168,151405510.0388298,228362061.9383032,964813035.9774919,3691763680.6428833,After
2022-07-20 00:00:00+00:00,2474947627.6928515,371965054.3998673,944904500.3695021,155341350.4717903,229922787.97647688,977346192.8232865,3714435410.186493,After
2022-07-21 00:00:00+00:00,2773410735.3530536,365125651.20087457,1061768830.7530775,168133911.76710892,231340080.8726904,1250064373.4398026,3686930096.9025726,After
2022-07-22 00:00:00+00:00,2596902459.971126,366289204.1064842,1057527592.712367,172140723.01266098,233333990.0853369,1454265306.0449967,3641297887.5580444,After
2022-07-22 00:00:00+00:00,2596902459.971126,366289204.1064842,1057527592.712367,172140723.01266098,233333990.0853369,1454265306.0449967,3641297887.5580444,Before
2022-07-23 00:00:00+00:00,2337425495.956166,376174405.391292,901082059.8821474,157875360.14664716,233743247.45382074,1867880458.4562616,3605215774.239406,Before
2022-07-24 00:00:00+00:00,2437794798.265416,397741084.1310288,914978509.2427963,157875360.14664716,233743247.45382074,1867955284.29645,3598247463.981625,Before
2022-07-25 00:00:00+00:00,2285723186.8387246,375440720.037976,887559619.6278235,157683185.99215165,233743247.45382074,1867958183.212514,3582805860.406533,Before
2022-07-26 00:00:00+00:00,2087376322.1320677,341534888.2170533,847416606.3723314,157323238.0008752,233743247.45382074,1970831404.9290688,3491757792.973617,Before
2022-07-27 00:00:00+00:00,2442532678.030884,393586936.4759231,919957267.8844404,157323238.0008752,233743247.45382074,1970741410.3261917,3538508011.518813,Before
