,delta_30d,delta_90d,period,surplus_buffer
809,55501031.84094849,41968878.40237039,2022-01-08 00:00:00+00:00,65635000.529498234
810,52469774.10911613,41623083.75255401,2022-01-07 00:00:00+00:00,65399693.89520253
811,51218740.63503003,41762027.237575665,2022-01-06 00:00:00+00:00,65282508.92198501
812,51909065.063521236,42418548.571417,2022-01-05 00:00:00+00:00,65282623.41467603
813,52421231.58194551,41584878.1723593,2022-01-04 00:00:00+00:00,65090431.688028015
814,50871955.09631187,41215465.59486554,2022-01-03 00:00:00+00:00,64835123.23730505
815,48559703.91031228,39604498.55477399,2022-01-02 00:00:00+00:00,64461246.76284979
816,55422591.54420808,36918489.75875006,2022-01-01 00:00:00+00:00,64642535.98636959
817,57700774.99151796,36738154.70119857,2021-12-31 00:00:00+00:00,64463185.944712594
818,58722719.85253873,37057082.46390837,2021-12-30 00:00:00+00:00,64394674.76462427
819,57829233.46735978,35317498.397654526,2021-12-29 00:00:00+00:00,64001127.718105696
820,43953781.18205904,32216824.351875998,2021-12-28 00:00:00+00:00,63617193.36031191
821,47628666.28480146,33739306.2193292,2021-12-27 00:00:00+00:00,63840748.90659707
822,50927543.6524131,34107777.1098343,2021-12-26 00:00:00+00:00,63739823.97180645
823,43537803.04504757,34191402.3183553,2021-12-25 00:00:00+00:00,63588848.015906885
824,43582435.439405225,35396251.666971184,2021-12-24 00:00:00+00:00,63583175.77566686
825,41571768.787498824,35232363.00378939,2021-12-23 00:00:00+00:00,63420284.57560723
826,39592151.33756849,34374926.130734295,2021-12-22 00:00:00+00:00,63083102.907398134
827,36201395.884337276,34575160.142929934,2021-12-21 00:00:00+00:00,62982033.460720256
828,32854101.113040317,34242360.36677544,2021-12-20 00:00:00+00:00,62722698.52388448
829,30379309.65587316,43157814.642601274,2021-12-19 00:00:00+00:00,62505734.52942569
830,30188660.85983505,44107265.11103554,2021-12-18 00:00:00+00:00,62505556.42017914
831,27994585.141675737,43846039.26519909,2021-12-17 00:00:00+00:00,62308021.90236372
832,24451927.646760706,43224501.142800964,2021-12-16 00:00:00+00:00,62012618.10325637
833,24394165.53191969,44615717.93462577,2021-12-15 00:00:00+00:00,62008509.71389925
834,27066421.05287184,45208357.729521856,2021-12-14 00:00:00+00:00,62022880.80850248
835,31037711.962839838,45775032.82586818,2021-12-13 00:00:00+00:00,62022973.768580355
836,30245518.3685578,44927320.31812174,2021-12-12 00:00:00+00:00,61620878.60732945
837,33180207.062012047,45028091.393349044,2021-12-11 00:00:00+00:00,61509880.58216686
838,32240682.593966193,43964596.66280831,2021-12-10 00:00:00+00:00,61100478.396125406
839,31410162.544661522,44454948.987514004,2021-12-09 00:00:00+00:00,61073271.885036714
840,34952486.831715606,45016074.48643913,2021-12-08 00:00:00+00:00,61087109.72185052
841,37913100.53264694,45520865.41720054,2021-12-07 00:00:00+00:00,61072749.417735964
842,40255825.054361776,48977031.30177421,2021-12-06 00:00:00+00:00,61016124.916304424
843,40605969.31553156,48573393.44431989,2021-12-05 00:00:00+00:00,60781837.311429754
844,40914630.62418673,39286452.52316778,2021-12-04 00:00:00+00:00,60653866.65404654
845,42177458.413201176,39091508.047243156,2021-12-03 00:00:00+00:00,60470038.22227618
846,38356539.52947015,38110045.769580126,2021-12-02 00:00:00+00:00,60087254.48958536
847,25857595.984287504,37238664.01875431,2021-12-01 00:00:00+00:00,59720656.493354954
848,26778530.189981967,37217926.6198912,2021-11-30 00:00:00+00:00,59568149.84523752
849,25807342.47920351,36401009.411882296,2021-11-29 00:00:00+00:00,59248040.03585695
850,31453383.8895257,39951969.76113673,2021-11-28 00:00:00+00:00,60004553.81110158
851,31735747.774918873,40158824.32918821,2021-11-27 00:00:00+00:00,59926064.0064764
852,29815955.063834798,39124285.82993294,2021-11-26 00:00:00+00:00,59553998.46612866
853,37957384.78342903,41416054.55253611,2021-11-25 00:00:00+00:00,60010398.45056051
854,40245948.45735583,42311108.77749078,2021-11-24 00:00:00+00:00,60001057.794345886
855,42989683.28128041,42787042.25232314,2021-11-23 00:00:00+00:00,60003426.867045686
856,43207842.49623875,42534519.91947695,2021-11-22 00:00:00+00:00,59828953.482392505
857,47758754.15064087,31609406.338106286,2021-11-21 00:00:00+00:00,60006576.26474733
858,50491234.8753448,32130641.993882146,2021-11-20 00:00:00+00:00,60022361.44610035
859,52960130.83517364,32562667.74318937,2021-11-19 00:00:00+00:00,60008804.96866899
860,55616207.33761656,33342201.601148065,2021-11-18 00:00:00+00:00,60024296.62348037
861,57228005.66097468,33751489.98709391,2021-11-17 00:00:00+00:00,60007097.09619859
862,59385493.535309,34242362.587042265,2021-11-16 00:00:00+00:00,60002870.62544042
863,61324811.45721221,34757138.77824494,2021-11-15 00:00:00+00:00,60003509.80716612
864,60351401.271309555,34384642.739708476,2021-11-14 00:00:00+00:00,59798243.4616911
865,58423056.70007217,33555901.59791465,2021-11-13 00:00:00+00:00,59471928.94971681
866,56144469.02403806,32797890.13358556,2021-11-12 00:00:00+00:00,59134945.59073566
867,53853382.758458346,31798390.20144315,2021-11-11 00:00:00+00:00,58782740.275700115
868,51532492.6539701,30929602.37971674,2021-11-10 00:00:00+00:00,58450559.278813116
869,38995440.82150116,31617346.10394509,2021-11-09 00:00:00+00:00,58491614.68958508
870,37446990.3168303,31072744.39876324,2021-11-08 00:00:00+00:00,58214302.584997185
871,36154240.545050025,30533999.446839947,2021-11-07 00:00:00+00:00,57956604.16847731
872,35090755.59636797,29964213.0635867,2021-11-06 00:00:00+00:00,57707426.96663085
873,31727433.619600825,29363905.380810697,2021-11-05 00:00:00+00:00,57444360.381386064
874,31859811.064098023,29238561.319310904,2021-11-04 00:00:00+00:00,57291020.30137366
875,28076333.340808515,28498208.468798935,2021-11-03 00:00:00+00:00,57003397.8047528
876,16976338.202571955,28640228.74159089,2021-11-02 00:00:00+00:00,56934662.199491926
877,26656093.12779026,31775189.507149823,2021-11-01 00:00:00+00:00,57595374.63163269
878,25669997.349204402,31261953.278168872,2021-10-31 00:00:00+00:00,57367174.76112942
879,22315919.24640028,30695626.838441305,2021-10-30 00:00:00+00:00,57126888.59921008
880,21243307.98404326,32383453.254113052,2021-10-29 00:00:00+00:00,57419344.17634604
881,21853504.59826726,32441239.81066656,2021-10-28 00:00:00+00:00,57317646.381140605
882,21579832.613254998,32023722.35362501,2021-10-27 00:00:00+00:00,57103372.0225258
883,21079019.12658931,31645993.81438108,2021-10-26 00:00:00+00:00,56890613.39986771
884,22360371.104152516,31344358.268146716,2021-10-25 00:00:00+00:00,56693171.619768694
885,21135636.94258893,30919313.299991395,2021-10-24 00:00:00+00:00,56470028.24118702
886,20324784.55839562,30572320.680251606,2021-10-23 00:00:00+00:00,56277623.9621537
887,19765330.393811658,30245586.219659045,2021-10-22 00:00:00+00:00,56081199.21127
888,19381745.1119412,29751602.05814033,2021-10-21 00:00:00+00:00,55872396.935798034
889,46134003.43675701,29285359.66423107,2021-10-20 00:00:00+00:00,55655917.50276431
890,46516927.13565501,28883957.51242269,2021-10-19 00:00:00+00:00,55453101.499840654
891,46315526.99294684,28691639.316660527,2021-10-18 00:00:00+00:00,55303425.398036286
892,45836082.2463332,28437598.063389197,2021-10-17 00:00:00+00:00,55121871.156784885
893,48128176.8147454,28190641.235543083,2021-10-16 00:00:00+00:00,54963114.3449295
894,48207250.86438417,18198078.149849143,2021-10-15 00:00:00+00:00,54837854.31610401
895,47864329.81469256,18219376.58581679,2021-10-14 00:00:00+00:00,54670033.878478
896,48391973.561769366,18333327.121102463,2021-10-13 00:00:00+00:00,54520331.69834897
897,48050684.35957674,18401250.93324045,2021-10-12 00:00:00+00:00,54356434.84349806
898,48120614.74048863,18566636.567540172,2021-10-11 00:00:00+00:00,54215011.937390916
899,62959243.596379325,23815035.330113325,2021-10-10 00:00:00+00:00,55286509.96453019
900,62648746.3107715,23953454.562296215,2021-10-09 00:00:00+00:00,55136467.76443579
901,62495255.173904665,24062961.659102514,2021-10-08 00:00:00+00:00,54985022.753815666
902,71584513.25459288,24222647.96324059,2021-10-07 00:00:00+00:00,54823255.27377869
903,73386777.39782728,24892248.068060745,2021-10-06 00:00:00+00:00,54836626.11128189
904,45084915.88121857,24969474.27240374,2021-10-05 00:00:00+00:00,54672405.6933656
905,47020732.38771979,25835871.4357939,2021-10-04 00:00:00+00:00,54695753.96852196
906,58997259.576698266,29970707.429967918,2021-10-03 00:00:00+00:00,55539346.73078738
907,59202302.94418515,30235012.74900591,2021-10-02 00:00:00+00:00,55404462.86770473
908,59205252.320487216,30386638.950567953,2021-10-01 00:00:00+00:00,55257311.9653044
909,61079766.510043085,31295986.129008025,2021-09-30 00:00:00+00:00,55292703.455670334
910,67159217.40984125,33589329.358846225,2021-09-29 00:00:00+00:00,55673318.86258906
911,66887220.614378504,33692649.7146323,2021-09-28 00:00:00+00:00,55521467.92100905
912,65977069.81270903,33869352.76851655,2021-09-27 00:00:00+00:00,55329687.150203474
913,65211759.74759,33952067.352005415,2021-09-26 00:00:00+00:00,55158091.27987407
914,64327006.77096399,33465996.76960656,2021-09-25 00:00:00+00:00,54855332.898879446
915,64235806.533100076,33648591.56673194,2021-09-24 00:00:00+00:00,54732852.60207012
916,64070932.703796476,34127042.45900471,2021-09-23 00:00:00+00:00,54607093.72447735
917,27304134.469866324,33770789.71244588,2021-09-22 00:00:00+00:00,54456651.50766904
918,26518945.994360432,33788539.342337936,2021-09-21 00:00:00+00:00,54279376.789611086
919,-1406131.0423625621,24918772.217712544,2021-09-20 00:00:00+00:00,51864081.60385277
920,-2106529.669827368,26553543.24889132,2021-09-19 00:00:00+00:00,51629792.42019778
921,-2289062.692639782,27800661.52670458,2021-09-18 00:00:00+00:00,51496669.75478038
922,-2494488.0205154023,29512319.59577974,2021-09-17 00:00:00+00:00,51354521.93105887
923,-5181571.937222796,29391718.256151408,2021-09-16 00:00:00+00:00,51007373.78481344
924,-5404723.916568278,30423467.145919893,2021-09-15 00:00:00+00:00,50875614.51903134
925,-5619681.721020766,31180839.20946749,2021-09-14 00:00:00+00:00,50735979.3731608
926,-6142772.185050738,31866602.79454394,2021-09-13 00:00:00+00:00,50542909.21381998
927,-6508896.513705653,32649475.252632864,2021-09-12 00:00:00+00:00,50407063.52627257
928,-6864300.255308519,33420535.649021257,2021-09-11 00:00:00+00:00,50259892.91762473
929,-7102646.106045225,34278488.111973934,2021-09-10 00:00:00+00:00,50111777.61414285
930,-6877503.43131208,35193206.34066081,2021-09-09 00:00:00+00:00,49987255.73889293
931,-7047497.378434851,36445440.848064624,2021-09-08 00:00:00+00:00,49848426.43815227
932,-16782629.660200763,34173788.339137375,2021-09-07 00:00:00+00:00,48939596.65011352
933,-17022494.874996018,28767651.570439003,2021-09-06 00:00:00+00:00,48804836.188172795
934,10770957.012616115,39923792.00931731,2021-09-05 00:00:00+00:00,50966796.168881886
935,10397559.677868498,40776947.34882763,2021-09-04 00:00:00+00:00,50831036.23802444
936,9947088.445502443,41551684.46222973,2021-09-03 00:00:00+00:00,50690256.902565606
937,9467172.449474052,42324389.30695942,2021-09-02 00:00:00+00:00,50538520.15996348
938,8910610.164814992,43017344.55406241,2021-09-01 00:00:00+00:00,50391126.84307257
939,8691194.75888056,44183668.2863681,2021-08-31 00:00:00+00:00,50272448.67402296
940,8747834.368454631,45167325.91817212,2021-08-30 00:00:00+00:00,50153383.18506786
941,8582994.219353922,46264305.62607568,2021-08-29 00:00:00+00:00,50023888.14448479
942,8514264.634911004,46918039.48715644,2021-08-28 00:00:00+00:00,49906914.28888492
943,8647202.568963924,47492586.74364642,2021-08-27 00:00:00+00:00,49798220.61568859
944,7345696.929323641,48893892.00660702,2021-08-26 00:00:00+00:00,49568181.65743035
945,7386496.424285168,50340510.64410741,2021-08-25 00:00:00+00:00,49453197.270582445
946,7321244.778562723,46809101.847982794,2021-08-24 00:00:00+00:00,49340989.666631065
947,43667293.79529915,59444074.12364079,2021-08-23 00:00:00+00:00,52212476.071789615
948,43354115.068119355,60451183.356603615,2021-08-22 00:00:00+00:00,52099737.39281434
949,43128206.59829875,60409966.775626406,2021-08-21 00:00:00+00:00,51979654.01829353
950,42241475.071440436,63824201.795819245,2021-08-20 00:00:00+00:00,51802931.845115095
