,balance,inflow,interest,outflow,period
232,885387382.3968886,184499795.08378825,168851.91485121584,,2023-08-08 00:00:00.000
233,700718735.3982491,298378513.72836864,120841.65988965987,,2023-08-07 00:00:00.000
234,402219380.00999093,62715497.77641504,44612.849439142235,,2023-08-06 00:00:00.000
235,339459269.38413674,1977123.890620518,31343.72678715345,,2023-08-05 00:00:00.000
236,337450801.76672906,,28575.217538512316,8115800.994622922,2023-08-04 00:00:00.000
237,345538027.54381347,1104058.1308035662,34850.62345700786,,2023-08-03 00:00:00.000
238,344399118.78955287,512521.5968945505,29375.876632619296,,2023-08-02 00:00:00.000
239,343857221.3160257,191721.57258892106,24906.33974081135,,2023-08-01 00:00:00.000
240,343640593.40369594,,28264.759227867846,770361.7665966582,2023-07-31 00:00:00.000
241,344382690.41106474,27034216.46693201,34730.43241389466,,2023-07-30 00:00:00.000
242,317313743.51171887,7482724.441922604,22281.573107267875,,2023-07-29 00:00:00.000
243,309808737.496689,2717079.7807485596,24789.75939878809,,2023-07-28 00:00:00.000
244,307066867.95654166,47319.078939431696,27026.324927774065,,2023-07-27 00:00:00.000
245,306992522.5526745,,28998.65163700426,1624480.5024372418,2023-07-26 00:00:00.000
246,308588004.4034747,,25218.080767397172,1173200.702358672,2023-07-25 00:00:00.000
247,309735987.02506596,19977650.199305777,38215.253817799115,,2023-07-24 00:00:00.000
248,289720121.5719424,,10358.431220778675,,2023-07-23 00:00:00.000
249,289093296.3421396,,28002.08511534748,9946713.577710152,2023-07-22 00:00:00.000
250,299012007.8347344,21632892.380925678,25810.66087183992,,2023-07-21 00:00:00.000
251,277353304.79293686,,19533.00105259021,125972.42855765368,2023-07-20 00:00:00.000
252,277459744.22044194,,27149.32672453931,530853.2296237225,2023-07-19 00:00:00.000
253,277963448.12334114,,22297.20541130563,,2023-07-18 00:00:00.000
254,277850761.93888193,1449251.944158353,26475.37863964005,,2023-07-17 00:00:00.000
255,276375034.6160839,,28796.734584083653,4663145.148353237,2023-07-16 00:00:00.000
256,281009383.02985305,,27548.729456031204,823311.6538442412,2023-07-15 00:00:00.000
257,281805145.9542413,29002.530202399706,24436.267659424997,,2023-07-14 00:00:00.000
258,281751707.15637946,15471701.499878,26540.91847477978,,2023-07-13 00:00:00.000
259,266253464.73802668,2766643.1793538295,22845.418818174596,,2023-07-12 00:00:00.000
260,263463976.13985467,9644944.083491683,23132.18559030529,,2023-07-11 00:00:00.000
261,253795899.8707727,239020.12332019815,24981.671560926457,,2023-07-10 00:00:00.000
262,253531898.07589155,,25021.922098271265,,2023-07-09 00:00:00.000
263,247154419.92240506,303109.9447977529,22434.16195926554,,2023-07-08 00:00:00.000
264,246828875.81564805,3128104.2771025267,21247.267665348878,,2023-07-07 00:00:00.000
265,243679524.27088016,2015370.4813722381,27650.616013277497,,2023-07-06 00:00:00.000
266,241636503.17349464,30651056.42042488,17405.94597627153,,2023-07-05 00:00:00.000
267,210968040.80709347,2196853.8702370226,19216.761116182493,,2023-07-04 00:00:00.000
268,208751970.17574027,1278144.1326858003,19498.413567076845,,2023-07-03 00:00:00.000
269,207454327.6294874,379912.4941023628,20175.48337731503,,2023-07-02 00:00:00.000
270,207054239.65200773,,20341.789103149105,569149.3001852126,2023-07-01 00:00:00.000
271,207603047.16308978,19290908.54758941,17039.28649766966,,2023-06-30 00:00:00.000
272,188295099.3290027,,18256.296456315446,5196531.76594065,2023-06-29 00:00:00.000
273,193473374.79848704,1632649.8138128952,17642.549736701272,,2023-06-28 00:00:00.000
274,191823082.43493745,7908123.186043001,18401.987795073852,,2023-06-27 00:00:00.000
