,dt,maturity,outflow,outflow_dai_only,outflow_surplus_buffer,total_period
4427,2022-03-14 00:00:00+00:00,1-year,5911636837.299084,5845619243.449399,66017593.849684894,9564063314.451288
4428,2022-03-13 00:00:00+00:00,1-week,1163382968.1447616,1163382968.1447616,0.0,9567058742.86702
4429,2022-03-13 00:00:00+00:00,1-month,264188924.24372083,264188924.24372083,0.0,9567058742.86702
4430,2022-03-13 00:00:00+00:00,3-months,389786937.4087684,389786937.4087684,0.0,9567058742.86702
4431,2022-03-13 00:00:00+00:00,1-block,921316012.1781049,921316012.1781049,0.0,9567058742.86702
4432,2022-03-13 00:00:00+00:00,1-year,5907067888.71356,5841214112.984858,65853775.72870244,9567058742.86702
4433,2022-03-13 00:00:00+00:00,1-day,921316012.1781049,921316012.1781049,0.0,9567058742.86702
4434,2022-03-12 00:00:00+00:00,3-months,391947912.8549191,391947912.8549191,0.0,9581528931.179304
4435,2022-03-12 00:00:00+00:00,1-week,1168734012.8332205,1168734012.8332205,0.0,9581528931.179304
4436,2022-03-12 00:00:00+00:00,1-day,923544322.3172607,923544322.3172607,0.0,9581528931.179304
4437,2022-03-12 00:00:00+00:00,1-year,5908104775.477198,5842567805.8808155,65536969.59638242,9581528931.179304
4438,2022-03-12 00:00:00+00:00,1-month,265653585.37944514,265653585.37944514,0.0,9581528931.179304
4439,2022-03-12 00:00:00+00:00,1-block,923544322.3172607,923544322.3172607,0.0,9581528931.179304
4440,2022-03-11 00:00:00+00:00,1-week,1168784526.1984322,1168784526.1984322,0.0,9568014247.578693
4441,2022-03-11 00:00:00+00:00,1-month,265784215.6284292,265784215.6284292,0.0,9568014247.578693
4442,2022-03-11 00:00:00+00:00,1-day,922624718.8317294,922624718.8317294,0.0,9568014247.578693
4443,2022-03-11 00:00:00+00:00,1-year,5896055422.079216,5830636931.581572,65418490.49764359,9568014247.578693
4444,2022-03-11 00:00:00+00:00,1-block,922624718.8317294,922624718.8317294,0.0,9568014247.578693
4445,2022-03-11 00:00:00+00:00,3-months,392140646.00915784,392140646.00915784,0.0,9568014247.578693
4446,2022-03-10 00:00:00+00:00,1-day,921015311.508152,921015311.508152,0.0,9548209682.042988
4447,2022-03-10 00:00:00+00:00,1-week,1167707142.6743288,1167707142.6743288,0.0,9548209682.042988
4448,2022-03-10 00:00:00+00:00,1-block,921015311.508152,921015311.508152,0.0,9548209682.042988
4449,2022-03-10 00:00:00+00:00,1-month,265633456.92687538,265633456.92687538,0.0,9548209682.042988
4450,2022-03-10 00:00:00+00:00,1-year,5880920244.287468,5815625787.300778,65294456.98668969,9548209682.042988
4451,2022-03-10 00:00:00+00:00,3-months,391918215.1380129,391918215.1380129,0.0,9548209682.042988
4452,2022-03-09 00:00:00+00:00,1-week,1164269915.6419063,1164269915.6419063,0.0,9546372421.529829
4453,2022-03-09 00:00:00+00:00,1-month,264625148.6655038,264625148.6655038,0.0,9546372421.529829
4454,2022-03-09 00:00:00+00:00,3-months,390430547.211399,390430547.211399,0.0,9546372421.529829
4455,2022-03-09 00:00:00+00:00,1-day,920127451.1176425,920127451.1176425,0.0,9546372421.529829
4456,2022-03-09 00:00:00+00:00,1-year,5886791907.775733,5821657122.044659,65134785.73107433,9546372421.529829
4457,2022-03-09 00:00:00+00:00,1-block,920127451.1176425,920127451.1176425,0.0,9546372421.529829
4458,2022-03-08 00:00:00+00:00,1-year,5852946115.397208,5788015911.622539,64930203.77466969,9507859334.792912
4459,2022-03-08 00:00:00+00:00,1-month,264933763.05260167,264933763.05260167,0.0,9507859334.792912
4460,2022-03-08 00:00:00+00:00,1-block,917448730.3577089,917448730.3577089,0.0,9507859334.792912
4461,2022-03-08 00:00:00+00:00,1-day,917448730.3577089,917448730.3577089,0.0,9507859334.792912
4462,2022-03-08 00:00:00+00:00,3-months,390885879.9136746,390885879.9136746,0.0,9507859334.792912
4463,2022-03-08 00:00:00+00:00,1-week,1164196115.7140102,1164196115.7140102,0.0,9507859334.792912
4464,2022-03-07 00:00:00+00:00,3-months,394495584.7157442,394495584.7157442,0.0,9629779364.81464
4465,2022-03-07 00:00:00+00:00,1-month,267380340.75178218,267380340.75178218,0.0,9629779364.81464
4466,2022-03-07 00:00:00+00:00,1-block,928573650.2569122,928573650.2569122,0.0,9629779364.81464
4467,2022-03-07 00:00:00+00:00,1-year,5934796880.4954195,5870051379.159998,64745501.33542107,9629779364.81464
4468,2022-03-07 00:00:00+00:00,1-week,1175959258.3378704,1175959258.3378704,0.0,9629779364.81464
4469,2022-03-07 00:00:00+00:00,1-day,928573650.2569122,928573650.2569122,0.0,9629779364.81464
4470,2022-03-06 00:00:00+00:00,1-month,267724173.7011524,267724173.7011524,0.0,9578900987.08498
4471,2022-03-06 00:00:00+00:00,1-week,1175647831.9063997,1175647831.9063997,0.0,9578900987.08498
4472,2022-03-06 00:00:00+00:00,1-day,924988564.2574631,924988564.2574631,0.0,9578900987.08498
4473,2022-03-06 00:00:00+00:00,3-months,395002879.23120844,395002879.23120844,0.0,9578900987.08498
4474,2022-03-06 00:00:00+00:00,1-block,924988564.2574631,924988564.2574631,0.0,9578900987.08498
4475,2022-03-06 00:00:00+00:00,1-year,5890548973.731295,5826098036.139893,64450937.59140195,9578900987.08498
4476,2022-03-05 00:00:00+00:00,3-months,382726810.50702834,382726810.50702834,0.0,9449023866.473948
4477,2022-03-05 00:00:00+00:00,1-day,908829483.8961018,908829483.8961018,0.0,9449023866.473948
4478,2022-03-05 00:00:00+00:00,1-block,908829483.8961018,908829483.8961018,0.0,9449023866.473948
4479,2022-03-05 00:00:00+00:00,1-year,5845320458.209433,5780685519.707102,64634938.50233056,9449023866.473948
4480,2022-03-05 00:00:00+00:00,1-month,259403727.12143034,259403727.12143034,0.0,9449023866.473948
4481,2022-03-05 00:00:00+00:00,1-week,1143913902.8438525,1143913902.8438525,0.0,9449023866.473948
4482,2022-03-04 00:00:00+00:00,1-month,258714362.4871865,258714362.4871865,0.0,9460833743.914919
4483,2022-03-04 00:00:00+00:00,1-day,909217813.3232472,909217813.3232472,0.0,9460833743.914919
4484,2022-03-04 00:00:00+00:00,3-months,381709715.14502925,381709715.14502925,0.0,9460833743.914919
4485,2022-03-04 00:00:00+00:00,1-week,1141943727.2996728,1141943727.2996728,0.0,9460833743.914919
4486,2022-03-04 00:00:00+00:00,1-block,909217813.3232472,909217813.3232472,0.0,9460833743.914919
4487,2022-03-04 00:00:00+00:00,1-year,5860030312.336536,5795535209.126427,64495103.21010915,9460833743.914919
4488,2022-03-03 00:00:00+00:00,1-year,5771719140.260252,5707300838.535479,64418301.72477403,9374961424.840849
4489,2022-03-03 00:00:00+00:00,3-months,385319326.19797516,385319326.19797516,0.0,9374961424.840849
4490,2022-03-03 00:00:00+00:00,1-day,904542266.3024535,904542266.3024535,0.0,9374961424.840849
4491,2022-03-03 00:00:00+00:00,1-block,904542266.3024535,904542266.3024535,0.0,9374961424.840849
4492,2022-03-03 00:00:00+00:00,1-month,261160876.6452943,261160876.6452943,0.0,9374961424.840849
4493,2022-03-03 00:00:00+00:00,1-week,1147677549.132421,1147677549.132421,0.0,9374961424.840849
4494,2022-03-02 00:00:00+00:00,1-block,905972914.2683713,905972914.2683713,0.0,9372411238.040518
4495,2022-03-02 00:00:00+00:00,1-year,5753802066.479181,5689370134.10731,64431932.37187158,9372411238.040518
4496,2022-03-02 00:00:00+00:00,3-months,388499648.55173665,388499648.55173665,0.0,9372411238.040518
