period,collateral,daily_revenues
2024-02-15,WBTC-A,24849.140743166034
2024-02-15,WBTC-B,6711.969577355653
2024-02-15,WBTC-C,7393.018071263866
2024-02-15,WSTETH-A,59490.29793844084
2024-02-15,WSTETH-B,10149.790562558817
2024-02-14,DIRECT-SPARK-DAI,0.0
2024-02-14,ETH-A,52798.05418376763
2024-02-14,ETH-B,36516.10395827095
2024-02-14,ETH-C,69144.24742141087
2024-02-14,RWA012-A,63130.82089839724
2024-02-14,RWA013-A,41240.84077964029
2024-02-14,RWA015-A,0.0
2024-02-14,WBTC-A,26820.798985243113
2024-02-14,WBTC-B,9720.960151633357
2024-02-14,WBTC-C,8965.40703247155
2024-02-14,WSTETH-A,66691.92737928647
2024-02-14,WSTETH-B,15036.299581034782
2024-02-13,DIRECT-SPARK-DAI,0.0
2024-02-13,ETH-A,59139.692214919
2024-02-13,ETH-B,24435.52681791186
2024-02-13,ETH-C,62870.17651079237
2024-02-13,RWA002-A,2441.842801150558
2024-02-13,RWA015-A,0.0
2024-02-13,WBTC-A,27108.57309573143
2024-02-13,WBTC-B,4078.933758073192
2024-02-13,WBTC-C,10346.790963025676
2024-02-13,WSTETH-A,65142.82200062571
2024-02-13,WSTETH-B,22307.875076828663
2024-02-12,DIRECT-SPARK-DAI,0.0
2024-02-12,ETH-A,47913.390511193844
2024-02-12,ETH-B,28511.578271816194
2024-02-12,ETH-C,66461.34503259431
2024-02-12,RWA002-A,7423.640514574592
2024-02-12,RWA014-A,0.0
2024-02-12,RWA015-A,0.0
2024-02-12,WBTC-A,27869.682219861177
2024-02-12,WBTC-B,9703.782728635128
2024-02-12,WBTC-C,12569.7528089825
2024-02-12,WSTETH-A,93893.60364769556
2024-02-12,WSTETH-B,19616.666099012375
2024-02-11,ETH-A,110024.97146547606
2024-02-11,ETH-B,63701.387329891775
2024-02-11,ETH-C,64878.989673054246
2024-02-11,WBTC-A,14962.490848030073
2024-02-11,WBTC-B,5063.886064990249
2024-02-11,WBTC-C,7353.548196805878
2024-02-11,WSTETH-A,95687.8551482107
2024-02-11,WSTETH-B,37935.14476135011
2024-02-10,ETH-C,79852.02604613219
2024-02-10,WBTC-A,28056.201075440335
2024-02-10,WBTC-B,5182.044778141926
2024-02-10,WBTC-C,9389.258686029065
2024-02-09,ETH-A,56140.595477501076
2024-02-09,ETH-B,26491.176009198083
2024-02-09,ETH-C,66420.89884635483
2024-02-09,RWA002-A,11365.391997546494
2024-02-09,WBTC-A,19197.060193340258
2024-02-09,WBTC-B,4859.452893909212
2024-02-09,WBTC-C,14438.6204872111
2024-02-09,WSTETH-A,84671.74417945296
2024-02-08,ETH-A,40313.20177830302
2024-02-08,ETH-B,29308.159010720894
2024-02-08,ETH-C,77150.97482286672
2024-02-08,WBTC-A,40960.359542880775
2024-02-08,WBTC-B,6261.308619841309
2024-02-08,WBTC-C,4354.83244819149
2024-02-08,WSTETH-A,49848.19783916976
2024-02-08,WSTETH-B,13188.186975098353
2024-02-07,ETH-A,59348.10009392958
2024-02-07,ETH-B,51912.50693729849
2024-02-07,ETH-C,71897.3105101304
2024-02-07,RWA007-A,0.0
2024-02-07,RWA013-A,37216.48417867879
2024-02-07,RWA014-A,0.0
2024-02-07,WBTC-A,30565.694994168574
2024-02-07,WBTC-B,9713.788567081576
2024-02-07,WBTC-C,8292.582089086352
2024-02-07,WSTETH-A,61911.271053050776
2024-02-07,WSTETH-B,19266.44736150734
2024-02-06,DIRECT-SPARK-DAI,0.0
2024-02-06,ETH-A,50277.23850458239
2024-02-06,ETH-C,113311.72942295812
2024-02-06,RWA007-A,0.0
2024-02-06,RWA015-A,0.0
2024-02-06,WBTC-A,1886.4084830561912
2024-02-06,WBTC-B,2263.8576292434986
2024-02-06,WBTC-C,8991.952396323104
2024-02-06,WSTETH-A,219347.9348174445
2024-02-06,WSTETH-B,13803.781135262725
2024-02-05,DIRECT-SPARK-DAI,0.0
2024-02-05,ETH-A,52172.33590019608
2024-02-05,ETH-B,42311.93558737779
2024-02-05,ETH-C,28638.721374655554
2024-02-05,RWA002-A,14056.51544412947
2024-02-05,RWA012-A,40345.66632659873
2024-02-05,RWA015-A,0.0
2024-02-05,WBTC-A,72857.4525700546
2024-02-05,WBTC-B,16989.45024770142
2024-02-05,WBTC-C,15764.595547525603
2024-02-05,WSTETH-A,630005.9662524447
2024-02-05,WSTETH-B,36990.83972840271
2024-02-04,ETH-A,61059.61150998136
2024-02-04,ETH-B,12708.311172597547
2024-02-04,ETH-C,89471.0643704315
2024-02-03,ETH-A,52341.88681582294
2024-02-03,ETH-B,26461.61542477154
2024-02-03,ETH-C,79165.13513835713
2024-02-03,RWA015-A,0.0
2024-02-03,WBTC-C,12383.786894207238
2024-02-03,WSTETH-A,125317.5527162791
2024-02-03,WSTETH-B,25662.924540884094
2024-02-02,ETH-A,79826.70423589187
2024-02-02,ETH-B,26126.94228435078
2024-02-02,ETH-C,45116.26732186605
2024-02-02,RWA013-A,19134.408144363835
2024-02-02,WBTC-A,25303.741004470918
2024-02-02,WBTC-B,7565.604765346485
2024-02-02,WBTC-C,8832.990821588099
2024-02-01,ETH-A,26435.833058462642
2024-02-01,ETH-B,28719.55583745373
2024-02-01,ETH-C,75390.3103177765
2024-02-01,WBTC-A,22703.775157300908
2024-02-01,WBTC-B,4929.937270449617
2024-02-01,WBTC-C,4591.198984418444
2024-02-01,WSTETH-A,167463.91389238473
2024-02-01,WSTETH-B,32029.54669663334
2024-01-31,DIRECT-SPARK-DAI,0.0
2024-01-31,ETH-A,37509.957164661064
2024-01-31,ETH-B,20893.18169788335
2024-01-31,ETH-C,78298.8277334538
2024-01-31,RWA002-A,22868.294434371637
2024-01-31,WBTC-A,20863.576079089333
2024-01-31,WBTC-B,6955.468487338006
2024-01-31,WBTC-C,9114.286769086602
2024-01-30,DIRECT-SPARK-DAI,0.0
2024-01-30,ETH-A,59343.00146200633
2024-01-30,ETH-B,34636.210329502464
2024-01-30,ETH-C,81133.94102268945
2024-01-30,RETH-A,0.0
2024-01-30,RWA012-A,82482.47909471144
2024-01-30,RWA013-A,42713.050772920964
2024-01-30,WBTC-A,28777.290693285915
2024-01-30,WBTC-B,3279.68945008433
2024-01-30,WBTC-C,12542.566594254098
2024-01-30,WSTETH-A,57168.696004143974
2024-01-30,WSTETH-B,56845.386432084604
2024-01-29,DIRECT-SPARK-DAI,0.0
2024-01-29,ETH-A,60468.01379661992
2024-01-29,ETH-B,29245.646901568198
2024-01-29,ETH-C,69941.28900291953
2024-01-29,RETH-A,0.0
2024-01-29,WBTC-A,19396.136111355874
2024-01-29,WBTC-B,7131.365045483065
2024-01-29,WBTC-C,11226.736831865393
2024-01-29,WSTETH-A,91907.48640275889
2024-01-29,WSTETH-B,38655.76367519955
2024-01-28,ETH-A,30297.40207516207
2024-01-28,ETH-B,36494.31408482226
2024-01-28,ETH-C,45028.28325507563
2024-01-28,WBTC-A,47118.390066830296
2024-01-28,WBTC-B,5368.918683564749
2024-01-28,WBTC-C,3134.756629451188
2024-01-28,WSTETH-A,111623.7455008069
2024-01-28,WSTETH-B,30413.890844851456
2024-01-27,ETH-A,29362.32106708966
2024-01-27,ETH-C,83886.59297021638
2024-01-27,WBTC-B,1913.1838659523692
2024-01-27,WBTC-C,25918.884814525903
