dt,annual_revenues,asset,blended_rate,collateral,revenues,total_annual_revenues,total_asset,total_blended_rate
2021-11-28 00:00:00+00:00,52449494.54040463,1311159554.821734,0.04000237373668508,WBTC,170771.61105573512,152651992.5545188,8833357702.653994,0.01728130997215864
2021-11-27 00:00:00+00:00,91710014.40080139,3925967290.1673193,0.023359851884271008,ETH,248393.90885692748,153212748.84107807,8822918215.39282,0.01736531441193424
2021-11-27 00:00:00+00:00,1006607.1130139916,35885356.85836083,0.02805063683738915,Lending Protocols,2757.827706887648,153212748.84107807,8822918215.39282,0.01736531441193424
2021-11-27 00:00:00+00:00,1880800.378349015,241289994.33473384,0.007794771530144102,Liquidity Pools,64.22198425011985,153212748.84107807,8822918215.39282,0.01736531441193424
2021-11-27 00:00:00+00:00,2023101.2864819346,130878070.24441114,0.015457908897218988,Others,821.5784942917521,153212748.84107807,8822918215.39282,0.01736531441193424
2021-11-27 00:00:00+00:00,592299.46944204,15318529.95934748,0.03866555544258438,RWA,221.9896764631139,153212748.84107807,8822918215.39282,0.01736531441193424
2021-11-27 00:00:00+00:00,3303764.7786082756,3156252731.0566807,0.0010467364498730142,Stablecoins,,153212748.84107807,8822918215.39282,0.01736531441193424
2021-11-27 00:00:00+00:00,52696161.414381415,1317326242.771967,0.04000236213581853,WBTC,123183.7456219034,153212748.84107807,8822918215.39282,0.01736531441193424
2021-11-26 00:00:00+00:00,91714965.58300376,3925086364.1684957,0.023366356068048707,ETH,237279.41655919023,153105096.35437202,8833981574.727337,0.01733138053993481
2021-11-26 00:00:00+00:00,1000391.8980812944,35885356.85836083,0.027877440428691624,Lending Protocols,2740.7997207706694,153105096.35437202,8833981574.727337,0.01733138053993481
2021-11-26 00:00:00+00:00,1965240.8774521581,258167845.91355923,0.007612260428861338,Liquidity Pools,6106.528912792801,153105096.35437202,8833981574.727337,0.01733138053993481
2021-11-26 00:00:00+00:00,2022982.3482453218,130834462.22541928,0.015462152049510125,Others,5129.2301703890835,153105096.35437202,8833981574.727337,0.01733138053993481
2021-11-26 00:00:00+00:00,606656.2171812261,15523626.340505976,0.03907954261938598,RWA,9673.734845017516,153105096.35437202,8833981574.727337,0.01733138053993481
2021-11-26 00:00:00+00:00,3303764.7786082756,3156244114.9592648,0.0010467393073146103,Stablecoins,8235.114893442005,153105096.35437202,8833981574.727337,0.01733138053993481
2021-11-26 00:00:00+00:00,52491094.65179998,1312239804.261732,0.04000114497466531,WBTC,135784.56050144933,153105096.35437202,8833981574.727337,0.01733138053993481
2021-11-25 00:00:00+00:00,92138004.62343894,3927714736.6909504,0.023458425776884204,ETH,249806.12462590306,155388517.80187994,8936307986.12581,0.017388447001057992
2021-11-25 00:00:00+00:00,1396072.1003277819,50000000.0,0.027921442006555636,Lending Protocols,3824.855069391183,155388517.80187994,8936307986.12581,0.017388447001057992
2021-11-25 00:00:00+00:00,2393700.607151784,343870162.51566637,0.006961059341816927,Liquidity Pools,6598.92758456501,155388517.80187994,8936307986.12581,0.017388447001057992
2021-11-25 00:00:00+00:00,2051631.489804905,133033106.85962942,0.015421961782563604,Others,5688.732406964451,155388517.80187994,8936307986.12581,0.017388447001057992
2021-11-25 00:00:00+00:00,606222.550303199,15513952.605660958,0.039075957347065225,RWA,,155388517.80187994,8936307986.12581,0.017388447001057992
2021-11-25 00:00:00+00:00,3303682.427454218,3128733490.5935183,0.0010559168549787576,Stablecoins,9415.574985424539,155388517.80187994,8936307986.12581,0.017388447001057992
2021-11-25 00:00:00+00:00,53499204.00339913,1337442536.8603854,0.04000112343442227,WBTC,146621.61468457786,155388517.80187994,8936307986.12581,0.017388447001057992
2021-11-24 00:00:00+00:00,91900102.0634891,3915403095.5421667,0.0234714280550375,ETH,246437.1640772736,155131446.73666772,8865059158.71596,0.017499200395537734
2021-11-24 00:00:00+00:00,1368145.6358324306,50000000.0,0.02736291271664861,Lending Protocols,3748.344207760084,155131446.73666772,8865059158.71596,0.017499200395537734
2021-11-24 00:00:00+00:00,2359985.6048544873,337139568.57717794,0.007000025582325676,Liquidity Pools,6525.527657992458,155131446.73666772,8865059158.71596,0.017499200395537734
2021-11-24 00:00:00+00:00,2042596.1411070114,132695904.26845108,0.015393060941615255,Others,6496.462625772459,155131446.73666772,8865059158.71596,0.017499200395537734
2021-11-24 00:00:00+00:00,606222.550303199,15513952.605660958,0.039075957347065225,RWA,,155131446.73666772,8865059158.71596,0.017499200395537734
2021-11-24 00:00:00+00:00,3303588.271698505,3075536539.2711883,0.0010741502269653927,Stablecoins,8690.092166188737,155131446.73666772,8865059158.71596,0.017499200395537734
2021-11-24 00:00:00+00:00,53550806.46938299,1338770098.4513135,0.040000001890788006,WBTC,136573.22980416814,155131446.73666772,8865059158.71596,0.017499200395537734
2021-11-23 00:00:00+00:00,91542359.80583398,3906891330.890488,0.023430997192586095,ETH,253615.54992036405,154847663.65775877,8845813416.03088,0.017505192159845372
2021-11-23 00:00:00+00:00,1402261.0064847236,50000000.0,0.028045220129694473,Lending Protocols,3841.810976670476,154847663.65775877,8845813416.03088,0.017505192159845372
2021-11-23 00:00:00+00:00,2367339.3793990174,337931908.4520372,0.0070053739235311505,Liquidity Pools,7124.0445026847465,154847663.65775877,8845813416.03088,0.017505192159845372
2021-11-23 00:00:00+00:00,2056950.0387816487,134029895.96434654,0.015346949454685994,Others,5337.528336677957,154847663.65775877,8845813416.03088,0.017505192159845372
2021-11-23 00:00:00+00:00,606222.550303199,15513952.605660958,0.039075957347065225,RWA,,154847663.65775877,8845813416.03088,0.017505192159845372
2021-11-23 00:00:00+00:00,3303501.3707714356,3062220653.7685237,0.0010787927273320358,Stablecoins,9541.155885073937,154847663.65775877,8845813416.03088,0.017505192159845372
2021-11-23 00:00:00+00:00,53569029.50618477,1339225674.3498232,0.040000001890788006,WBTC,144053.75750942426,154847663.65775877,8845813416.03088,0.017505192159845372
2021-11-22 00:00:00+00:00,91081095.4294705,3895670425.668643,0.02338008236768067,ETH,250679.26103689554,153936105.73957214,8776089780.163204,0.017540397784844616
2021-11-22 00:00:00+00:00,986362.1491316231,33964617.78983228,0.02904087292355466,Lending Protocols,2702.3620524154057,153936105.73957214,8776089780.163204,0.017540397784844616
2021-11-22 00:00:00+00:00,2375850.9661620515,338314901.7293232,0.007022602179264651,Liquidity Pools,6176.11977516218,153936105.73957214,8776089780.163204,0.017540397784844616
2021-11-22 00:00:00+00:00,2094532.4116427673,135842429.098179,0.015418838028352401,Others,5439.056817478589,153936105.73957214,8776089780.163204,0.017540397784844616
2021-11-22 00:00:00+00:00,606222.550303199,15513952.605660958,0.039075957347065225,RWA,2120.0836650228516,153936105.73957214,8776089780.163204,0.017540397784844616
2021-11-22 00:00:00+00:00,3303405.9592066486,3019567609.6399736,0.0010939996669259932,Stablecoins,8867.270480665773,153936105.73957214,8776089780.163204,0.017540397784844616
2021-11-22 00:00:00+00:00,53488636.27365537,1337215843.6315923,0.040000001890788006,WBTC,116305.28692974165,153936105.73957214,8776089780.163204,0.017540397784844616
2021-11-21 00:00:00+00:00,92158217.7610558,3931962146.395403,0.023438226089114608,ETH,239117.13818684942,135466814.8650557,8812395468.480288,0.015372303177902795
2021-11-21 00:00:00+00:00,1395571.777917538,50000000.0,0.02791143555835076,Lending Protocols,3823.4843230617485,135466814.8650557,8812395468.480288,0.015372303177902795
2021-11-21 00:00:00+00:00,2355761.6214242387,337308725.60954803,0.006983992534338268,Liquidity Pools,5728.731451346455,135466814.8650557,8812395468.480288,0.015372303177902795
2021-11-21 00:00:00+00:00,2097082.8815826029,136056023.0993451,0.015413377767563878,Others,4959.12725477046,135466814.8650557,8812395468.480288,0.015372303177902795
2021-11-21 00:00:00+00:00,622663.8983762335,15983705.41580955,0.038956167057505584,RWA,162.9466206002486,135466814.8650557,8812395468.480288,0.015372303177902795
2021-11-21 00:00:00+00:00,3303317.286496325,2999716597.2629538,0.0011012097907883655,Stablecoins,8705.33420060213,135466814.8650557,8812395468.480288,0.015372303177902795
2021-11-21 00:00:00+00:00,33534199.63820298,1341368270.697228,0.02499999468510783,WBTC,85557.03971875431,135466814.8650557,8812395468.480288,0.015372303177902795
2021-11-20 00:00:00+00:00,91992952.7417584,3928018059.919545,0.023419686808579143,ETH,252140.3816467107,134798613.11549774,8759506238.413002,0.015388836932881709
2021-11-20 00:00:00+00:00,1021759.1156096335,37664709.726712555,0.0271277576018323,Lending Protocols,2799.340042766119,134798613.11549774,8759506238.413002,0.015388836932881709
2021-11-20 00:00:00+00:00,2355503.7425832106,337292496.8780967,0.006983564011607795,Liquidity Pools,6497.062353660696,134798613.11549774,8759506238.413002,0.015388836932881709
2021-11-20 00:00:00+00:00,2096282.6153153449,135980676.52921575,0.015416033136626981,Others,6913.366198800847,134798613.11549774,8759506238.413002,0.015388836932881709
2021-11-20 00:00:00+00:00,639636.1432122345,16468626.705160357,0.038839677081988135,RWA,1281.2802876428364,134798613.11549774,8759506238.413002,0.015388836932881709
2021-11-20 00:00:00+00:00,3303230.166579427,2968511441.1002226,0.001112756420893277,Stablecoins,9213.871207201842,134798613.11549774,8759506238.413002,0.015388836932881709
2021-11-20 00:00:00+00:00,33389248.590439472,1335570227.5540488,0.02499999468510783,WBTC,92975.2654795526,134798613.11549774,8759506238.413002,0.015388836932881709
2021-11-19 00:00:00+00:00,92837796.47693236,3963045390.6377125,0.023425872612070534,ETH,247620.54062592113,135790217.07187065,8753212349.360645,0.01551318666247016
2021-11-19 00:00:00+00:00,1364622.7726357281,49487862.51383964,0.027574898233968005,Lending Protocols,3738.692527769118,135790217.07187065,8753212349.360645,0.01551318666247016
2021-11-19 00:00:00+00:00,2274451.3024839964,321253144.59891105,0.007079934751529607,Liquidity Pools,6376.62866962921,135790217.07187065,8753212349.360645,0.01551318666247016
2021-11-19 00:00:00+00:00,2094379.0089107875,135793312.68642926,0.01542328534061967,Others,5101.234623347463,135790217.07187065,8753212349.360645,0.01551318666247016
2021-11-19 00:00:00+00:00,647591.7750977317,16695930.477218404,0.03878740247399632,RWA,1320.2940966160004,135790217.07187065,8753212349.360645,0.01551318666247016
2021-11-19 00:00:00+00:00,3303137.6014703205,2936206900.165527,0.0011249675904256298,Stablecoins,9790.80693192625,135790217.07187065,8753212349.360645,0.01551318666247016
2021-11-19 00:00:00+00:00,33268238.13433973,1330729808.2810068,0.02499999468510783,WBTC,88432.35994482838,135790217.07187065,8753212349.360645,0.01551318666247016
2021-11-18 00:00:00+00:00,92899250.70823489,3990925963.689772,0.02327761816517032,ETH,253150.16046127788,134021550.49119106,8663069106.124514,0.015470446887748141
2021-11-18 00:00:00+00:00,1189068.2083249728,39284431.57870092,0.030268179035321897,Lending Protocols,3257.7211186985555,134021550.49119106,8663069106.124514,0.015470446887748141
2021-11-18 00:00:00+00:00,2127810.798852578,291928956.8761445,0.007288796636077918,Liquidity Pools,5140.815820381415,134021550.49119106,8663069106.124514,0.015470446887748141
2021-11-18 00:00:00+00:00,2094077.136121872,135728284.90310812,0.015428450581371184,Others,5329.018328543392,134021550.49119106,8663069106.124514,0.015470446887748141
2021-11-18 00:00:00+00:00,641822.8063966625,16531102.797216231,0.038825165765997344,RWA,887.20641827348,134021550.49119106,8663069106.124514,0.015470446887748141
2021-11-18 00:00:00+00:00,3303039.4628935023,2918010841.3281736,0.0011319490031058547,Stablecoins,7630.7173946393605,134021550.49119106,8663069106.124514,0.015470446887748141
2021-11-18 00:00:00+00:00,31766481.370366592,1270659524.9513981,0.02499999468510783,WBTC,83934.27765718637,134021550.49119106,8663069106.124514,0.015470446887748141
2021-11-17 00:00:00+00:00,93020018.8561404,3993176304.9406934,0.02329474377102965,ETH,248765.3264444296,134265788.7339099,8596953021.652151,0.015617834411302493
