Cycle Day,ETH Vault_collateral_usd,stETH Vault_collateral_usd,BTC Vault_collateral_usd,Altcoin Vault_collateral_usd,Stablecoin Vault_collateral_usd,LP Vault_collateral_usd,PSM Vault_collateral_usd,Step
2022-07-24 00:00:00+00:00,2552680320.368892,120992746.70107675,383315453.1238508,174007071.09827042,192587681.10479566,1275987372.081862,4908765103.039108,After
2022-07-25 00:00:00+00:00,2364594124.7518725,122841231.57012248,393826247.5251875,174767928.8636284,200552054.51093504,1390577410.9301896,4743755005.417587,After
2022-07-26 00:00:00+00:00,2093211500.7151446,97801316.36092973,388742734.8217726,170806252.4772606,206196979.92092344,1596283889.8573442,4576940825.9254,After
2022-07-27 00:00:00+00:00,2487719841.3255725,185538280.1471579,469219834.99283886,170438376.51387405,211316733.99873182,1669525669.8513627,4462634052.861435,After
2022-07-28 00:00:00+00:00,2676044878.056804,250098596.28446317,548932717.9276228,170132610.12184525,211774574.9484732,1764119713.5219865,4289791977.99411,After
2022-07-29 00:00:00+00:00,2636141100.118419,117713499.83542371,309480662.3902693,173797658.27640915,179658516.67536375,1520919115.530501,4961241850.750977,After
2022-07-30 00:00:00+00:00,2611501788.6570544,151578204.91005158,374707616.10872936,174135254.10364914,188255181.2221777,1598173651.3549333,4806649610.825775,After
2022-07-31 00:00:00+00:00,2585676736.5831714,173149431.04845452,394152614.93052197,169367077.69565964,194519747.14456388,1674016699.7500443,4642288113.530975,After
2022-08-01 00:00:00+00:00,2412405020.5179553,204003831.6358626,426685310.8042097,165277469.39468002,201135832.98570463,1739672672.8671708,4540816217.809647,After
2022-08-02 00:00:00+00:00,2458971257.7897754,200559558.88055825,428549717.5829115,162861469.65317154,205252232.54191038,1720436314.9199967,4460419543.175629,After
2022-08-03 00:00:00+00:00,2545631929.4241138,215155309.67360997,493682480.96822643,167579200.55174637,209135120.92871305,1700338011.7495866,4355499712.758652,After
2022-08-04 00:00:00+00:00,2415005816.7225146,233130250.27991796,526281062.4132948,166505497.3650093,213086098.34080717,1752334266.2673173,4291053396.529114,After
2022-08-05 00:00:00+00:00,2574678929.2613025,140156642.79632688,263236260.45754528,169028408.06573868,180384460.8875601,1674587536.0465226,4832459739.579483,After
2022-08-06 00:00:00+00:00,2591607215.361278,167561062.39636064,325488536.779109,166942357.45834732,189036401.73475096,1683189507.1044145,4737566613.451706,After
2022-08-07 00:00:00+00:00,2592328518.868175,183116729.8845284,362362219.3632612,169779386.1788826,195313521.8600485,1709870267.6059709,4572768552.08754,After
2022-08-08 00:00:00+00:00,2711781588.189983,246303396.70371938,408671130.3786268,158221401.36343765,201868097.13669035,1665744350.4390092,4581251793.083893,After
2022-08-09 00:00:00+00:00,2557696372.0598865,229238294.0434277,423013768.5881605,154032725.12839127,206885636.70492002,1695641510.060408,4539759288.148682,After
2022-08-10 00:00:00+00:00,2916343847.6581836,309218871.44778085,485201001.7664747,156094619.8101387,209518786.8061163,1718707587.9669938,4405337099.418594,After
2022-08-11 00:00:00+00:00,2873138641.5615344,341803425.5814011,519212844.1632643,154641499.33488846,212102533.00348112,1738331429.222487,4279218695.340088,After
2022-08-12 00:00:00+00:00,2876235947.3646655,244009155.48518395,231534712.6061659,148365054.23869705,183973719.21115324,1456425313.0736833,4870442872.060806,After
2022-08-13 00:00:00+00:00,3000230320.852611,291363983.8404906,300481974.11583996,151879653.55672073,190691957.23356077,1474881208.147963,4732849792.036972,After
2022-08-14 00:00:00+00:00,2892591654.6021533,297889393.90656114,342799915.5452833,154229436.41513443,196748393.90698454,1440836836.3430924,4650309732.783264,After
2022-08-15 00:00:00+00:00,2862991656.03062,295145068.14566827,377609793.69323254,166159055.09273148,200331282.90308592,1467357183.6447892,4506831604.043854,After
2022-08-16 00:00:00+00:00,2835826379.6294055,310648725.98262334,426913382.1771498,171933765.03239822,204314824.67684385,1457422157.1441178,4391825045.694946,After
2022-08-17 00:00:00+00:00,2786476611.33662,317018589.4054196,467382721.9132643,175112368.83626175,208133319.17508146,1448090573.5240617,4298995103.31192,After
2022-08-18 00:00:00+00:00,2860376541.970073,327118553.1928971,540742154.6699781,183797232.90185928,212287602.92421934,1348786280.9202409,4215685135.6119995,After
2022-08-19 00:00:00+00:00,2457254381.6986804,176039694.06509233,142117405.79479504,170306520.66519547,181595637.28631803,1305938954.8972917,4772288376.371201,After
2022-08-20 00:00:00+00:00,2261978033.305309,167216890.66642785,181968539.58803844,173184943.07173538,187657963.98174497,1329007710.8993669,4725707644.624741,After
2022-08-21 00:00:00+00:00,2407295107.5059924,192528886.51873899,238479080.47472668,180261709.71863174,193491438.59179136,1262033867.9706864,4608024852.4713745,After
2022-08-22 00:00:00+00:00,2343525868.4262195,215118131.3824246,266133023.34615612,183953703.66087723,198399569.7921774,1272269906.0561357,4527475456.712524,After
2022-08-23 00:00:00+00:00,2499482331.5534472,255175796.61507058,321249100.59603405,189818015.43997574,202873438.6906683,1208000247.2827287,4422058292.526794,After
2022-08-24 00:00:00+00:00,2541554327.5074267,289471992.6310122,338748969.71810436,193188227.3233986,206088478.25049803,1205089901.816359,4327160530.589386,After
2022-08-25 00:00:00+00:00,2575573250.320293,311729561.66456056,364016584.87588024,195687499.0720253,208232091.45982572,1230655122.710463,4223153370.0522003,After
2022-08-26 00:00:00+00:00,2228153291.697826,156673100.29278588,58067480.38643932,181741254.81511307,176365363.50300047,1112014312.2514176,4846121289.704895,After
2022-08-27 00:00:00+00:00,2108809752.5125232,145318473.0751717,96710012.14136791,182363516.2874794,183250640.70516416,1120280471.6638932,4729891816.709396,After
2022-08-28 00:00:00+00:00,2176797754.1414905,225426263.992903,176558310.4588728,185804506.20225906,189246471.79304716,1141778344.0980058,4592334703.454071,After
2022-08-29 00:00:00+00:00,2296852645.539928,282374303.01211286,228010285.57975292,187736654.30359268,194387150.130892,1153215988.1607194,4440519859.862244,After
2022-08-30 00:00:00+00:00,2330301316.610332,323081972.9807303,266290513.02849865,188398839.13284683,199470992.21952268,1188206075.3810258,4326518770.407379,After
2022-08-31 00:00:00+00:00,2397099741.6285815,358351638.87803006,321531535.91179943,189591266.7319069,203221635.00825712,1200172790.6110673,4219797443.9894257,After
2022-09-01 00:00:00+00:00,2343754343.8055835,386256032.8236954,358225005.2134657,189435636.84759903,207125454.55720732,1248539573.4182878,4137213991.2476807,After
