,dsr_balance,dsr_rate,dt,non_dsr_balance,total_balance
118,1597224983.014811,0.05000000082842315,2023-11-23T00:00:00Z,3637203664.830995,5234428647.845844
119,1595383926.6267962,0.05000000082842315,2023-11-22T00:00:00Z,3639513738.8581357,5234897665.48497
120,1587941951.8733466,0.05000000082842315,2023-11-21T00:00:00Z,3648475798.132551,5236417750.005937
121,1582418416.244386,0.05000000082842315,2023-11-20T00:00:00Z,3641162825.073909,5223581241.318334
122,1592205241.4518979,0.05000000082842315,2023-11-19T00:00:00Z,3639675751.1597123,5231880992.611649
123,1568099225.429554,0.05000000082842315,2023-11-18T00:00:00Z,3642594211.869575,5210693437.299168
124,1544396367.1041315,0.05000000082842315,2023-11-17T00:00:00Z,3651657127.0566783,5196053494.160849
125,1542173142.575736,0.05000000082842315,2023-11-16T00:00:00Z,3665183334.174212,5207356476.749988
126,1541613122.4753754,0.05000000082842315,2023-11-15T00:00:00Z,3673853042.223807,5215466164.699223
127,1552626106.2552695,0.05000000082842315,2023-11-14T00:00:00Z,3678038786.814954,5230664893.070263
128,1552141657.8873668,0.05000000082842315,2023-11-13T00:00:00Z,3703019999.324458,5255161657.211864
129,1561757296.5658526,0.05000000082842315,2023-11-12T00:00:00Z,3708113868.468092,5269871165.033984
130,1550983906.3028846,0.05000000082842315,2023-11-11T00:00:00Z,3731796356.271326,5282780262.57425
131,1542511967.3584316,0.05000000082842315,2023-11-10T00:00:00Z,3714461847.7119555,5256973815.070426
132,1564574982.8074656,0.05000000082842315,2023-11-09T00:00:00Z,3706930381.3157706,5271505364.123276
133,1597905787.1530628,0.05000000082842315,2023-11-08T00:00:00Z,3685136169.9846234,5283041957.137726
134,1624951663.8102787,0.05000000082842315,2023-11-07T00:00:00Z,3693629397.2382665,5318581061.048585
135,1615808312.809932,0.05000000082842315,2023-11-06T00:00:00Z,3714703433.47716,5330511746.287132
136,1621327281.9027529,0.05000000082842315,2023-11-05T00:00:00Z,3722837575.1847267,5344164857.087521
137,1628213178.6782196,0.05000000082842315,2023-11-04T00:00:00Z,3726525755.1562433,5354738933.834503
138,1618926668.4147167,0.05000000082842315,2023-11-03T00:00:00Z,3706498524.7441907,5325425193.158948
139,1620155218.2331266,0.05000000082842315,2023-11-02T00:00:00Z,3706881021.2056375,5327036239.438805
140,1607397885.1555283,0.05000000082842315,2023-11-01T00:00:00Z,3729632670.6645756,5337030555.820145
141,1547099220.4651728,0.05000000082842315,2023-10-31T00:00:00Z,3743947294.565203,5291046515.0304165
142,1595090432.594192,0.05000000082842315,2023-10-30T00:00:00Z,3748281117.4229465,5343371550.0171795
143,1685186227.0296445,0.05000000082842315,2023-10-29T00:00:00Z,3751008563.9056373,5436194790.935323
144,1692495000.282088,0.05000000082842315,2023-10-28T00:00:00Z,3753130121.977218,5445625122.259347
145,1711490296.9308789,0.05000000082842315,2023-10-27T00:00:00Z,3757352174.18747,5468842471.11839
146,1726468230.972629,0.05000000082842315,2023-10-26T00:00:00Z,3770312389.9736066,5496780620.946277
147,1720709242.446936,0.05000000082842315,2023-10-25T00:00:00Z,3759848190.0560117,5480557432.502989
148,1726603850.6734738,0.05000000082842315,2023-10-24T00:00:00Z,3757820936.365265,5484424787.038779
149,1737928412.065444,0.05000000082842315,2023-10-23T00:00:00Z,3773644362.4208946,5511572774.486379
150,1750756886.518408,0.05000000082842315,2023-10-22T00:00:00Z,3804776495.750474,5555533382.268923
151,1743346102.677589,0.05000000082842315,2023-10-21T00:00:00Z,3807395202.2984333,5550741304.976062
152,1733681262.7404137,0.05000000082842315,2023-10-20T00:00:00Z,3806460352.0176253,5540141614.758079
153,1729106454.0320687,0.05000000082842315,2023-10-19T00:00:00Z,3787021092.858563,5516127546.890671
154,1688454500.863735,0.05000000082842315,2023-10-18T00:00:00Z,3795008917.9538183,5483463418.817593
155,1679041243.821348,0.05000000082842315,2023-10-17T00:00:00Z,3805526646.199721,5484567890.021108
156,1677615530.366474,0.05000000082842315,2023-10-16T00:00:00Z,3799732678.2741413,5477348208.640655
157,1692221317.6015878,0.05000000082842315,2023-10-15T00:00:00Z,3790694272.199715,5482915589.801341
158,1690519390.3638854,0.05000000082842315,2023-10-14T00:00:00Z,3785539195.843631,5476058586.207556
159,1679669621.9568791,0.05000000082842315,2023-10-13T00:00:00Z,3778307547.4204235,5457977169.377342
160,1663069649.5458853,0.05000000082842315,2023-10-12T00:00:00Z,3787588407.6030846,5450658057.14901
161,1689564562.6209643,0.05000000082842315,2023-10-11T00:00:00Z,3794704945.377924,5484269507.998928
162,1678295437.7198584,0.05000000082842315,2023-10-10T00:00:00Z,3821631240.3634205,5499926678.083319
163,1682283446.5902708,0.05000000082842315,2023-10-09T00:00:00Z,3824569791.9499297,5506853238.54024
164,1670457165.1492586,0.05000000082842315,2023-10-08T00:00:00Z,3827022677.6407695,5497479842.790068
165,1658486018.2959466,0.05000000082842315,2023-10-07T00:00:00Z,3828541333.8957376,5487027352.191724
