,balance,dt,total_balance,wallet
281,72962748.98825552,2024-02-15 00:00:00.000 UTC,4841621270.998423,Lending
282,2827156770.21676,2024-02-15 00:00:00.000 UTC,4841621270.998423,EOA
283,329797837.3668835,2024-02-15 00:00:00.000 UTC,4841621270.998423,Bridge
284,26100971.402914785,2024-02-15 00:00:00.000 UTC,4841621270.998423,CeFi
285,1149046676.6091042,2024-02-15 00:00:00.000 UTC,4841621270.998423,Dai Savings
286,264423714.19746757,2024-02-15 00:00:00.000 UTC,4841621270.998423,Other
287,1075000.000000062,2024-02-15 00:00:00.000 UTC,4841621270.998423,Treasury
288,1097358.926690502,2024-02-14 00:00:00.000 UTC,4811623222.667526,Treasury
289,1150090576.0346556,2024-02-14 00:00:00.000 UTC,4811623222.667526,Dai Savings
290,23425162.313018315,2024-02-14 00:00:00.000 UTC,4811623222.667526,CeFi
291,2826399056.304292,2024-02-14 00:00:00.000 UTC,4811623222.667526,EOA
292,65552749.17643297,2024-02-14 00:00:00.000 UTC,4811623222.667526,Lending
293,164885938.63907787,2024-02-14 00:00:00.000 UTC,4811623222.667526,Dex
294,328581933.0955992,2024-02-14 00:00:00.000 UTC,4811623222.667526,Bridge
295,251590448.17775956,2024-02-14 00:00:00.000 UTC,4811623222.667526,Other
296,326885655.65978074,2024-02-13 00:00:00.000 UTC,4815750756.742513,Bridge
297,153617522.1722373,2024-02-13 00:00:00.000 UTC,4815750756.742513,Dex
298,83756765.09468353,2024-02-13 00:00:00.000 UTC,4815750756.742513,Lending
299,254588874.4599887,2024-02-13 00:00:00.000 UTC,4815750756.742513,Other
300,2813991640.653981,2024-02-13 00:00:00.000 UTC,4815750756.742513,EOA
301,23077746.85108228,2024-02-13 00:00:00.000 UTC,4815750756.742513,CeFi
302,1158735192.9240687,2024-02-13 00:00:00.000 UTC,4815750756.742513,Dai Savings
303,1097358.926690502,2024-02-13 00:00:00.000 UTC,4815750756.742513,Treasury
304,22872996.495090604,2024-02-12 00:00:00.000 UTC,4822806686.637012,CeFi
305,1159312149.2888973,2024-02-12 00:00:00.000 UTC,4822806686.637012,Dai Savings
306,163535174.91107586,2024-02-12 00:00:00.000 UTC,4822806686.637012,Dex
307,1112358.926690502,2024-02-12 00:00:00.000 UTC,4822806686.637012,Treasury
308,87313907.97692181,2024-02-12 00:00:00.000 UTC,4822806686.637012,Lending
309,326767414.1287781,2024-02-12 00:00:00.000 UTC,4822806686.637012,Bridge
310,247755785.1155924,2024-02-12 00:00:00.000 UTC,4822806686.637012,Other
311,2814136899.793965,2024-02-12 00:00:00.000 UTC,4822806686.637012,EOA
312,2803330297.1787252,2024-02-11 00:00:00.000 UTC,4857156853.8634205,EOA
313,276123896.96590865,2024-02-11 00:00:00.000 UTC,4857156853.8634205,Other
314,1163530842.3319104,2024-02-11 00:00:00.000 UTC,4857156853.8634205,Dai Savings
315,173835027.34581938,2024-02-11 00:00:00.000 UTC,4857156853.8634205,Dex
316,325180502.86327463,2024-02-11 00:00:00.000 UTC,4857156853.8634205,Bridge
317,91557915.89140265,2024-02-11 00:00:00.000 UTC,4857156853.8634205,Lending
318,22486012.359689817,2024-02-11 00:00:00.000 UTC,4857156853.8634205,CeFi
319,1112358.926690502,2024-02-11 00:00:00.000 UTC,4857156853.8634205,Treasury
320,166015509.949321,2024-02-10 00:00:00.000 UTC,4841864348.57383,Dex
321,69527858.52960737,2024-02-10 00:00:00.000 UTC,4841864348.57383,Lending
322,325546506.1232038,2024-02-10 00:00:00.000 UTC,4841864348.57383,Bridge
323,1112358.926690502,2024-02-10 00:00:00.000 UTC,4841864348.57383,Treasury
324,22234490.858210042,2024-02-10 00:00:00.000 UTC,4841864348.57383,CeFi
325,2809668929.2539096,2024-02-10 00:00:00.000 UTC,4841864348.57383,EOA
326,1164671574.2093763,2024-02-10 00:00:00.000 UTC,4841864348.57383,Dai Savings
327,283087120.7235105,2024-02-10 00:00:00.000 UTC,4841864348.57383,Other
328,1112358.926690502,2024-02-09 00:00:00.000 UTC,4826676181.923681,Treasury
329,1168764050.64452,2024-02-09 00:00:00.000 UTC,4826676181.923681,Dai Savings
330,2806343444.2566977,2024-02-09 00:00:00.000 UTC,4826676181.923681,EOA
331,71386313.70377284,2024-02-09 00:00:00.000 UTC,4826676181.923681,Lending
