date,env reset start date,get state calculated portfolio value,action,mvo calculated current portfolio value,calculated optimized weights,current composition,agent weights updated to,current sortino ratio,target sortino ratio,current weights,target weights,current cumulative return,Distance penalty,Scaled Sortino diff,Reward,Reward no scale,dai ceilings
2023-04-10,,,,,,,"{'BTC Vault_collateral_usd': 0.10000000000000213, 'ETH Vault_collateral_usd': 0.05000000000000323, 'stETH Vault_collateral_usd': 0.49999999999999833, 'Stablecoin Vault_collateral_usd': 0.1, 'Altcoin Vault_collateral_usd': 0.01, 'LP Vault_collateral_usd': 0.06914867268983751, 'RWA Vault_collateral_usd': 0.019999999999997676, 'PSM Vault_collateral_usd': 0.1508513273101619}",,,,,,,,,,
2023-04-10,,,,,,,,-0.6152014139711964,,,,,,,,,
2023-04-10,,,,,,,,,2.8805657175228516,,,,,,,,
2023-04-10,,,,,,,,,,"{'BTC Vault_collateral_usd': 0.16176345772836434, 'ETH Vault_collateral_usd': 0.29676727647750917, 'stETH Vault_collateral_usd': 0.11511529612484302, 'Stablecoin Vault_collateral_usd': 0.04183529188788597, 'Altcoin Vault_collateral_usd': 0.04680574820660112, 'LP Vault_collateral_usd': 0.09132458897257897, 'RWA Vault_collateral_usd': 0.00570354871278428, 'PSM Vault_collateral_usd': 0.24068479188943318}",,,,,,,
2023-04-10,,,,,,,,,,,"{'BTC Vault_collateral_usd': 0.10000000000000213, 'ETH Vault_collateral_usd': 0.05000000000000323, 'stETH Vault_collateral_usd': 0.49999999999999833, 'Stablecoin Vault_collateral_usd': 0.1, 'Altcoin Vault_collateral_usd': 0.01, 'LP Vault_collateral_usd': 0.06914867268983751, 'RWA Vault_collateral_usd': 0.019999999999997676, 'PSM Vault_collateral_usd': 0.1508513273101619}",,,,,,
2023-04-10,,,,,,,,,,,,0.797854326880964,,,,,
2023-04-10,,,,,,,,,,,,,0.1306702466498521,,,,
2023-04-10,,,,,,,,,,,,,,3.4957671314940477e-05,,,
2023-04-10,,,,,,,,,,,,,,,-0.1450932460271231,,
2023-04-10,,,,,,,,,,,,,,,,-0.7603296176696345,
2023-04-10,,,,,,,,,,,,,,,,,"            ETH Vault_dai_ceiling  ...  PSM Vault_dai_ceiling
2021-11-19             4215499587  ...             3593103707
2021-11-20             4185875620  ...             3604384387
2021-11-21             4185229053  ...             3604384387
2021-11-22             4167338923  ...             3674297041
2021-11-23             4152215277  ...             3670722718
...                           ...  ...                    ...
2023-04-05              968234735  ...             1666209387
2023-04-06              970422332  ...             1659349568
2023-04-07              972614871  ...             1652517990
2023-04-08              974812363  ...             1645714538
2023-04-09              977014821  ...             1638939096

[507 rows x 8 columns]"
2023-04-10,,,"{'ETH Vault_dai_ceiling': -0.5, 'stETH Vault_dai_ceiling': 0.5, 'BTC Vault_dai_ceiling': -0.5, 'Altcoin Vault_dai_ceiling': -0.25, 'Stablecoin Vault_dai_ceiling': 0.25, 'PSM Vault_dai_ceiling': -0.5}",,,,,,,,,,,,,,
2023-05-05,,8866674066.053696,,,,,,,,,,,,,,,
2023-05-05,,,,8917544475.053696,,,,,,,,,,,,,
2023-05-05,,,,,"[0.1        0.05       0.5        0.1        0.01       0.06881002
 0.02       0.15118998]",,,,,,,,,,,,
2023-05-05,,,,,,"BTC Vault_collateral_usd          0
ETH Vault_collateral_usd          0
stETH Vault_collateral_usd        0
Stablecoin Vault_collateral_usd   0
Altcoin Vault_collateral_usd      0
LP Vault_collateral_usd           0
RWA Vault_collateral_usd          0
PSM Vault_collateral_usd          0
Name: 2023-05-04 00:00:00, dtype: float64",,,,,,,,,,,
2023-05-05,,,,,,,"{'BTC Vault_collateral_usd': 0.1000000000000024, 'ETH Vault_collateral_usd': 0.050000000000005415, 'stETH Vault_collateral_usd': 0.49999999999999795, 'Stablecoin Vault_collateral_usd': 0.1, 'Altcoin Vault_collateral_usd': 0.01, 'LP Vault_collateral_usd': 0.0688100194156526, 'RWA Vault_collateral_usd': 0.019999999999995514, 'PSM Vault_collateral_usd': 0.15118998058434663}",,,,,,,,,,
2023-05-05,,,,,,,,-0.5643145727507111,,,,,,,,,
2023-05-05,,,,,,,,,2.8903579384528038,,,,,,,,
